PR_ID,Title,Branch,State,Date
3359,Update `DEV-INTRO.md`,Sweetdevil144:develop,MERGED,2024-08-14T14:31:38Z
3312,Combine multiple `PEcAn.db` calls in a single query,Sweetdevil144:develop,MERGED,2024-06-24T03:10:27Z
3308,Remove `db.site.lat.lon` function and replace all usages with `query.site`,Sweetdevil144:develop,MERGED,2024-06-19T13:51:15Z
3301,Add test suites for `met2Cf.csv.R`,Sweetdevil144:develop,MERGED,2024-05-31T07:52:18Z
3300,Remove dependency on `data.atmosphere` from `data.land`,Sweetdevil144:gsoc-develop,MERGED,2024-05-30T04:36:19Z
3291,Add Script to Identify `Orphaned` Functions in Codebase,Sweetdevil144:develop-orphanedFunctions,MERGED,2024-05-17T06:48:30Z
3290,Remove unused inst/met2CF.R,Sweetdevil144:debug-met2CF,MERGED,2024-05-07T13:31:24Z
3283,Update API endpoint URLs,Sweetdevil144:develop,MERGED,2024-04-04T22:19:32Z
3281,Fix file extension search in met2model.SIPNET function,Sweetdevil144:develop,MERGED,2024-03-30T06:48:36Z
3276,Update Documentation for cos_solar_zenith_angle Function,Sweetdevil144:develop,MERGED,2024-03-11T19:35:32Z
3246,Fix Typo Errors and Errors in Markdown documentations,Sweetdevil144:develop,MERGED,2023-12-13T04:51:42Z
3243,Update book.yml,Sweetdevil144:develop,MERGED,2023-12-09T13:32:20Z
3348,Remove Browndog,Sweetdevil144:delete-browndog,OPEN,2024-07-31T07:52:09Z
3338,Refactor `convert_input` to Perform tasks via helper function,Sweetdevil144:gsoc/convert-input,OPEN,2024-07-18T07:46:07Z
3324,Add function to Optionally get `site.info` if not present,Sweetdevil144:siteID-refactor,OPEN,2024-07-05T18:35:11Z
3319,Refactor `met.process` and `dbfiles`,Sweetdevil144:convert-input,OPEN,2024-06-27T00:20:02Z
